question,ground_truth_answer,complexity
Điểm chuẩn ngành Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Anh) từ 2022 đến 2024 như thế nào ạ?,"Điểm chuẩn ngành Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Anh) có sự thay đổi như sau: 
- Năm 2022: 22.00
- Năm 2023: 23.20
- Năm 2024: 24.25",medium
Điểm chuẩn ngành Ngôn ngữ Anh (đào tạo tại phân hiệu Bình Phước) năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Ngôn ngữ Anh (đào tạo tại phân hiệu Bình Phước) năm 2025 là 24.0.,easy
Điểm chuẩn ngành Công nghệ thông tin (CTĐT Tiếng Anh) năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ thông tin (CTĐT Tiếng Anh) năm 2022 là 26.35.,easy
Ngành Hệ thống nhúng và IoT năm 2025 có điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn ngành Hệ thống nhúng và IoT (đào tạo bằng tiếng Việt) năm 2025 là 25.9.,easy
Khoa Ngoại ngữ năm 2023 có ngành nào điểm cao nhất không ạ?,Ngành có điểm cao nhất trong Khoa Ngoại ngữ năm 2023 là Sư phạm tiếng Anh (CTĐT Tiếng Việt) với 27.20.,medium
Điểm chuẩn ngành Công nghệ kỹ thuật môi trường từ 2022 đến 2024 như thế nào ạ?,"Điểm chuẩn ngành Công nghệ kỹ thuật môi trường (CTĐT Tiếng Việt) có sự thay đổi như sau: 
- Năm 2022: 17.0
- Năm 2023: 20.1
- Năm 2024: 22.0",medium
Ngành Quản lý công nghiệp năm 2022 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Quản lý công nghiệp (CTĐT Tiếng Việt) năm 2022 là 23.75.,easy
Ngành Công nghệ may năm 2023 có điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ may (CTĐT Tiếng Việt) năm 2023 là 21.0.,easy
Điểm chuẩn ngành Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Anh) từ 2022 đến 2024 như thế nào ạ?,"2022: 17.00
2023: 23.75
2024: 21.00",medium
Ngành Công nghệ may năm 2024 có điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ may (CTĐT Tiếng Việt) năm 2024 là 21.41.,easy
Khoa Cơ khí động lực năm 2022 có các ngành nào và điểm chuẩn ra sao ạ?,"Các ngành và điểm chuẩn:
- Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt): 25.35
- Công nghệ kỹ thuật ô tô (CTĐT Tiếng Anh): 23.25
- Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Việt): 18.70
- Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Anh): 17.00
- Năng lượng tái tạo (CTĐT Tiếng Việt): 21.00",medium
"Năm 2024, ngành nào có điểm cao nhất và thấp nhất vậy ạ?",Ngành có điểm cao nhất là Sư phạm tiếng Anh (CTĐT Tiếng Việt) với 27.50. Ngành có điểm thấp nhất là Kỹ nghệ gỗ và nội thất (CTĐT Tiếng Việt) với 20.50.,hard
Điểm chuẩn ngành Kinh doanh Quốc tế năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) năm 2025 là 24.95.,easy
Ngành Công nghệ chế tạo máy (đào tạo bằng tiếng Nhật) năm 2025 có điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ chế tạo máy (đào tạo bằng tiếng Nhật) năm 2025 là 22.8.,easy
Ngành Kỹ nghệ gỗ và nội thất năm 2024 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Kỹ nghệ gỗ và nội thất (CTĐT Tiếng Việt) năm 2024 là 20.5.,easy
Những ngành nào có điểm từ 24 trở lên năm 2024 vậy ạ?,"Các ngành có điểm từ 24 trở lên:
- Sư phạm tiếng Anh (CTĐT Tiếng Việt): 27.50
- Thiết kế đồ họa (CTĐT Tiếng Việt): 26.50
- Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt): 26.14
- Công nghệ thông tin (CTĐT Tiếng Việt): 25.97
- Kỹ thuật Thiết kế vi mạch (CTĐT Tiếng Việt): 25.95
- Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt): 25.66
- Công nghệ thông tin (CTĐT Tiếng Anh): 25.65
- Công nghệ thông tin (CTĐT Việt - Nhật): 25.65
- Hệ thống nhúng và IoT (CTĐT Tiếng Việt): 25.65
- Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt): 25.50",hard
Ngành Quản lý xây dựng năm 2022 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Quản lý xây dựng (CTĐT Tiếng Việt) năm 2022 là 21.0.,easy
Khoa Kinh tế năm 2024 có những ngành nào và điểm chuẩn ra sao ạ?,"Các ngành và điểm chuẩn:
- Quản lý công nghiệp (CTĐT Tiếng Việt): 24.20
- Quản lý công nghiệp (CTĐT Tiếng Anh): 23.05
- Kế toán (CTĐT Tiếng Việt): 22.75
- Thương mại điện tử (CTĐT Tiếng Việt): 23.00
- Logistic và quản lý chuỗi cung ứng (CTĐT Tiếng Việt): 25.21
- Kinh doanh Quốc tế (CTĐT Tiếng Việt): 22.75",medium
Các ngành có điểm từ 22 trở lên năm 2023 là gì vậy ạ?,"Các ngành có điểm từ 22 trở lên:
- Kinh doanh Quốc tế (CTĐT Tiếng Việt): 27.25
- Sư phạm tiếng Anh (CTĐT Tiếng Việt): 27.20
- Thương mại điện tử (CTĐT Tiếng Việt): 27.00
- An toàn Thông tin (CTĐT Tiếng Việt): 26.90
- Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt): 26.90
- Kỹ thuật dữ liệu (CTĐT Tiếng Việt): 26.81
- Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt): 26.65
- Công nghệ thông tin (CTĐT Tiếng Việt): 26.64
- Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt): 26.30
- Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt): 26.15",hard
Ngành Công nghệ thông tin (CTĐT Tiếng Việt) năm 2024 có điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ thông tin (CTĐT Tiếng Việt) năm 2024 là 25.97.,easy
Điểm chuẩn ngành Kiến trúc nội thất năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Kiến trúc nội thất (CTĐT Tiếng Việt) năm 2024 là 22.77.,easy
Điểm chuẩn ngành Quản trị nhà hàng và dịch vụ ăn uống từ 2022 đến 2024 như thế nào ạ?,"Điểm chuẩn ngành Quản trị nhà hàng và dịch vụ ăn uống (CTĐT Tiếng Việt): 2022: 20.75, 2023: 23.35, 2024: 23.27.",medium
Những ngành nào có điểm từ 25 trở lên năm 2022 vậy ạ?,"Các ngành có điểm từ 25 trở lên năm 2022: Công nghệ thông tin (CTĐT Tiếng Việt) 26.75, Công nghệ thông tin (CTĐT Tiếng Anh) 26.35, Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Việt) 26.15, Kỹ thuật dữ liệu (CTĐT Tiếng Việt) 26.10, Sư phạm tiếng Anh (CTĐT Tiếng Việt) 26.08, Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt) 26.00, Thương mại điện tử (CTĐT Tiếng Việt) 26.00, An toàn Thông tin (CTĐT Tiếng Việt) 26.00, Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) 25.75, Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt) 25.70.",hard
Khoa Thời trang và Du lịch năm 2024 có những ngành nào và điểm chuẩn ra sao ạ?,"Các ngành tại Khoa Thời trang và Du lịch năm 2024: Công nghệ may (CTĐT Tiếng Việt) 21.41, Quản trị nhà hàng và dịch vụ ăn uống (CTĐT Tiếng Việt) 23.27, Thiết kế thời trang (CTĐT Tiếng Việt) 24.80.",medium
Điểm chuẩn ngành Công nghệ vật liệu năm 2023 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ vật liệu (CTĐT Tiếng Việt) năm 2023 là 20.0.,easy
Khoa Cơ khí chế tạo máy năm 2024 có điểm chuẩn như thế nào ạ?,"Các ngành tại Khoa Cơ khí chế tạo máy năm 2024: Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt) 25.66, Công nghệ chế tạo máy (CTĐT Tiếng Việt) 24.27, Công nghệ chế tạo máy (CTĐT Tiếng Anh) 23.00, Công nghệ chế tạo máy (CTĐT Việt - Nhật) 23.75, Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt) 25.45, Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Anh) 25.10, Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Việt) 25.10, Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Anh) 24.25, Kỹ thuật công nghiệp (CTĐT Tiếng Việt) 23.88, Kỹ nghệ gỗ và nội thất (CTĐT Tiếng Việt) 20.50.",medium
Điểm chuẩn ngành Thương mại điện tử năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Thương mại điện tử (CTĐT Tiếng Việt) năm 2024 là 23.0.,easy
Điểm chuẩn ngành Năng lượng tái tạo năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Năng lượng tái tạo (CTĐT Tiếng Việt) năm 2022 là 21.0.,easy
Những ngành nào có điểm từ 26 trở lên năm 2023 vậy ạ?,"Các ngành có điểm từ 26 trở lên năm 2023: Kinh doanh Quốc tế (CTĐT Tiếng Việt) 27.25, Sư phạm tiếng Anh (CTĐT Tiếng Việt) 27.20, Thương mại điện tử (CTĐT Tiếng Việt) 27.00, An toàn Thông tin (CTĐT Tiếng Việt) 26.90, Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt) 26.90, Kỹ thuật dữ liệu (CTĐT Tiếng Việt) 26.81, Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt) 26.65, Công nghệ thông tin (CTĐT Tiếng Việt) 26.64, Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt) 26.30, Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) 26.15.",hard
Điểm chuẩn ngành Thiết kế thời trang năm 2023 là bao nhiêu ạ?,Điểm chuẩn ngành Thiết kế thời trang (CTĐT Tiếng Việt) năm 2023 là 23.1.,easy
Điểm chuẩn ngành Công nghệ Kỹ thuật hóa học năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt) năm 2025 là 28.35.,easy
Năm 2022 có ngành nào có điểm từ 20 trở lên không ạ?,"Các ngành có điểm từ 20 trở lên năm 2022: Công nghệ thông tin (CTĐT Tiếng Việt) 26.75, Công nghệ thông tin (CTĐT Tiếng Anh) 26.35, Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Việt) 26.15, Kỹ thuật dữ liệu (CTĐT Tiếng Việt) 26.10, Sư phạm tiếng Anh (CTĐT Tiếng Việt) 26.08, Thương mại điện tử (CTĐT Tiếng Việt) 26.00, An toàn Thông tin (CTĐT Tiếng Việt) 26.00, Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt) 26.00, Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) 25.75, Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt) 25.70.",hard
Khoa Xây dựng năm 2024 có điểm chuẩn như thế nào ạ?,"Các ngành tại Khoa Xây dựng năm 2024: Công nghệ kỹ thuật công trình xây dựng (CTĐT Tiếng Việt) 23.05, Công nghệ kỹ thuật công trình xây dựng (CTĐT Tiếng Anh) 21.00, Kỹ thuật xây dựng công trình giao thông (CTĐT Tiếng Việt) 21.55, Quản lý xây dựng (CTĐT Tiếng Việt) 22.17, Hệ thống kỹ thuật công trình xây dựng (CTĐT Tiếng Việt) 22.22, Quản lý và vận hành hạ tầng (CTĐT Tiếng Việt) 21.22, Kiến trúc (CTĐT Tiếng Việt) 22.97, Kiến trúc nội thất (CTĐT Tiếng Việt) 22.77.",medium
Điểm chuẩn ngành Kinh doanh Quốc tế (đào tạo tại phân hiệu Bình Phước) năm 2025 là bao nhiêu ạ?,Điểm chuẩn là 24.5.,easy
Khoa Kinh tế năm 2024 có những ngành nào với điểm chuẩn ra sao ạ?,"Các ngành gồm: Quản lý công nghiệp (CTĐT Tiếng Việt) 24.20, Quản lý công nghiệp (CTĐT Tiếng Anh) 23.05, Kế toán (CTĐT Tiếng Việt) 22.75, Thương mại điện tử (CTĐT Tiếng Việt) 23.00, Logistic và quản lý chuỗi cung ứng (CTĐT Tiếng Việt) 25.21, Kinh doanh Quốc tế (CTĐT Tiếng Việt) 22.75.",medium
Ngành Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn là 27.5.,easy
Điểm chuẩn ngành Công nghệ thông tin (đào tạo bằng tiếng Nhật) năm 2025 là bao nhiêu ạ?,Điểm chuẩn là 24.55.,easy
Điểm chuẩn ngành Công nghệ chế tạo máy (đào tạo bằng tiếng Nhật) năm 2025 là bao nhiêu ạ?,Điểm chuẩn là 22.8.,easy
Điểm chuẩn ngành Hệ thống nhúng và IoT (CTĐT Tiếng Việt) năm 2024 là bao nhiêu ạ?,Điểm chuẩn là 25.65.,easy
Điểm chuẩn ngành Sư phạm tiếng Anh từ năm 2022 đến 2024 như thế nào ạ?,"Điểm chuẩn: 2022 - 26.08, 2023 - 27.20, 2024 - 27.50.",hard
Ngành Logistic và quản lý chuỗi cung ứng (CTĐT Tiếng Việt) năm 2024 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn là 25.21.,easy
Khoa Kinh tế năm 2025 có những ngành nào và điểm chuẩn ra sao ạ?,"Các ngành gồm: Quản trị kinh doanh (đào tạo bằng tiếng Việt) 24.74, Kinh doanh Quốc tế (đào tạo tại phân hiệu Bình Phước) 24.50, Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) 24.95, Thương mại điện tử (đào tạo tại phân hiệu Bình Phước) 24.70, Thương mại điện tử (đào tạo bằng tiếng Việt) 25.70, Công nghệ tài chính (đào tạo bằng tiếng Việt) 24.70, Kế toán (đào tạo bằng tiếng Anh) 23.65, Kế toán (đào tạo tại phân hiệu Bình Phước) 23.55, Kế toán (đào tạo bằng tiếng Việt) 23.65, Quản lý công nghiệp (đào tạo bằng tiếng Anh) 22.00, Quản lý công nghiệp (đào tạo tại phân hiệu Bình Phước) 22.00, Quản lý công nghiệp (đào tạo bằng tiếng Việt) 24.60, Logistics và quản lý chuỗi cung ứng (đào tạo tại phân hiệu Bình Phước) 25.00, Logistics và quản lý chuỗi cung ứng (đào tạo bằng tiếng Việt) 27.65.",medium
Những ngành nào có điểm cao nhất và thấp nhất năm 2025 vậy ạ?,Ngành có điểm cao nhất: Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) 29.57; Ngành có điểm thấp nhất: Kỹ nghệ gỗ và nội thất (đào tạo bằng tiếng Việt) 21.10.,medium
Các ngành nào có điểm từ 20 trở lên năm 2025 vậy ạ?,"Các ngành gồm: Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) 29.57, Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) 28.70, Kỹ thuật Thiết kế vi mạch (đào tạo bằng tiếng Việt) 28.65, Vật lý kỹ thuật (đào tạo bằng tiếng Việt) 28.65, Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt) 28.35, Công nghệ Kỹ thuật cơ điện tử (đào tạo bằng tiếng Việt) 27.70, Logistics và quản lý chuỗi cung ứng (đào tạo bằng tiếng Việt) 27.65, Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) 27.50, Công nghệ thông tin (đào tạo bằng tiếng Việt) 27.45, Sư phạm công nghệ (đào tạo bằng tiếng Việt) 26.79.",hard
Những ngành nào có điểm từ 22 trở lên năm 2022 vậy ạ?,"Các ngành gồm: Công nghệ thông tin (CTĐT Tiếng Việt) 26.75, Công nghệ thông tin (CTĐT Tiếng Anh) 26.35, Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Việt) 26.15, Kỹ thuật dữ liệu (CTĐT Tiếng Việt) 26.10, Sư phạm tiếng Anh (CTĐT Tiếng Việt) 26.08, An toàn Thông tin (CTĐT Tiếng Việt) 26.00, Thương mại điện tử (CTĐT Tiếng Việt) 26.00, Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt) 26.00, Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) 25.75, Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt) 25.70.",hard
Điểm chuẩn ngành Kỹ thuật xây dựng công trình giao thông qua các năm như thế nào ạ?,"Điểm chuẩn ngành Kỹ thuật xây dựng công trình giao thông (CTĐT Tiếng Việt):
- Năm 2022: 17.00
- Năm 2023: 20.55
- Năm 2024: 21.55",medium
